"stock_code","stock_name","market","industry_code","industry_name","source_url","source_as_of","synced_at","close_price","change_val","change_pct","volume","quote_date"
"7848",騏億鑫,TPEX_EMERGING,"31",其他電子業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7849",旭誼,TPEX_EMERGING,"31",其他電子業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7850",寶泰生醫,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7851",慧康生技*-KY,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7853",政美應用,TPEX_EMERGING,"24",半導體業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7854",佐茂,TPEX_EMERGING,"25",電腦及週邊設備業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7855",和運租車,TPEX_EMERGING,"20",其他,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7856",漢測,TPEX_EMERGING,"24",半導體業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7857",合水先進,TPEX_EMERGING,"35",綠能環保,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7858",芝普,TPEX_EMERGING,"21",化學工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7860",得生製藥,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"7861",貝爾威勒,TPEX_EMERGING,"28",電子零組件業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
